Year,Word,Frequency,Category
2010,back,301,movement
2010,ain,243,vocalisation
2010,said,222,other
2010,life,210,other
2010,night,206,time
2010,man,198,other
2010,could,194,other
2010,put,192,movement
2010,stop,178,movement
2010,hands,169,anatomy
2010,away,168,movement
2010,keep,166,other
2010,world,162,other
2010,heart,159,emotion
2010,ever,157,time
2010,name,156,other
2010,won,153,other
2010,think,152,other
2010,really,150,other
2010,good,150,other
2010,better,146,emotion
2010,give,146,other
2010,around,140,movement
2010,look,135,other
2010,tonight,130,time
2010,little,128,other
2010,dance,128,movement
2010,head,125,anatomy
2010,run,121,movement
2010,home,120,other
2010,boom,120,vocalisation
2010,low,118,other
2010,eyes,114,anatomy
2010,find,114,other
2010,still,112,other
2010,mind,112,other
2010,day,111,time
2010,would,107,other
2010,wish,107,emotion
2010,show,107,other
2010,shit,105,profanity
2010,fuck,104,profanity
2010,every,102,time
2010,rock,102,movement
2010,everybody,102,other
2010,long,101,other
2010,last,101,time
2010,nothing,101,other
2010,even,99,other
2010,party,99,other
2010,everything,97,other
2010,fly,96,movement
2010,gone,95,movement
2010,stand,94,movement
2010,huh,94,vocalisation
2010,chick,94,other
2010,wooo,94,vocalisation
2010,turn,92,movement
2010,money,92,other
2010,enough,91,other
2010,bad,90,emotion
2010,live,89,other
2010,woah,88,vocalisation
2010,somebody,88,other
2010,fight,87,other
2010,always,87,time
2010,bitch,85,profanity
2010,lights,85,other
2010,leave,82,other
2010,done,82,other
2010,bang,81,vocalisation
2010,pretty,80,other
2010,nigga,80,profanity
2010,hold,78,other
2010,mmm,77,vocalisation
2010,well,75,other
2010,please,74,other
2010,old,74,time
2010,came,73,movement
2010,alone,72,emotion
2010,bout,72,other
2010,place,71,other
2010,hard,71,other
2010,high,70,other
2010,air,69,other
2010,shot,69,other
2010,change,68,other
2010,mean,68,other
2010,moment,68,time
2010,much,67,other
2010,maybe,67,other
2010,something,66,other
2010,comin,66,other
2010,big,66,other
2010,going,66,movement
2010,thing,65,other
2010,hear,65,other
2010,hit,65,movement
2010,made,65,other
2010,whoa,65,vocalisation
2011,back,308,movement
2011,ain,255,vocalisation
2011,woah,246,vocalisation
2011,give,238,other
2011,heart,232,emotion
2011,tonight,225,time
2011,good,215,other
2011,put,215,movement
2011,night,191,time
2011,man,189,other
2011,ayy,187,vocalisation
2011,keep,186,other
2011,could,184,other
2011,life,174,other
2011,money,169,other
2011,mind,159,other
2011,said,158,other
2011,day,149,time
2011,alright,146,other
2011,still,143,other
2011,world,140,other
2011,won,139,other
2011,always,138,time
2011,bitch,135,profanity
2011,every,134,time
2011,girls,134,other
2011,little,129,other
2011,shit,126,profanity
2011,fuck,126,profanity
2011,hold,124,other
2011,cake,120,other
2011,think,119,other
2011,everything,117,other
2011,around,116,movement
2011,run,115,movement
2011,away,114,movement
2011,stop,113,movement
2011,even,112,other
2011,call,112,other
2011,name,105,other
2011,show,105,other
2011,city,103,other
2011,turn,103,movement
2011,look,102,other
2011,head,102,anatomy
2011,things,101,other
2011,well,101,other
2011,everybody,101,other
2011,party,99,other
2011,shake,98,movement
2011,home,97,other
2011,nigga,96,profanity
2011,long,95,other
2011,ever,94,time
2011,bad,93,emotion
2011,buh,92,vocalisation
2011,would,91,other
2011,hands,90,anatomy
2011,really,90,other
2011,thing,90,other
2011,gone,88,movement
2011,rack,88,other
2011,nothing,86,other
2011,til,85,other
2011,alone,85,emotion
2011,talk,85,other
2011,rock,84,movement
2011,niggas,83,profanity
2011,pick,83,other
2011,dance,82,movement
2011,eyes,81,anatomy
2011,new,81,time
2011,floor,81,other
2011,pump,81,movement
2011,damn,80,profanity
2011,much,80,other
2011,body,79,anatomy
2011,die,79,other
2011,fight,78,other
2011,hard,78,other
2011,born,78,time
2011,try,78,other
2011,something,78,other
2011,please,77,other
2011,fuckin,77,profanity
2011,god,76,other
2011,watch,75,movement
2011,stay,74,movement
2011,told,74,other
2011,leave,74,other
2011,two,73,other
2011,fall,72,movement
2011,crazy,72,emotion
2011,pretty,72,other
2011,best,71,emotion
2011,made,71,other
2011,kiss,71,other
2011,real,71,other
2011,high,71,other
2011,people,70,other
2012,woah,230,vocalisation
2012,back,216,movement
2012,life,210,other
2012,ain,205,vocalisation
2012,could,195,other
2012,think,188,other
2012,day,182,time
2012,heart,170,emotion
2012,night,170,time
2012,good,166,other
2012,nigga,161,profanity
2012,little,151,other
2012,look,143,other
2012,ever,141,time
2012,away,140,movement
2012,turn,137,movement
2012,every,134,time
2012,said,134,other
2012,tonight,132,time
2012,shit,129,profanity
2012,long,128,other
2012,would,128,other
2012,bitch,125,profanity
2012,eyes,123,anatomy
2012,world,121,other
2012,hold,117,other
2012,still,115,other
2012,put,112,movement
2012,last,112,time
2012,fuck,111,profanity
2012,won,110,other
2012,made,108,other
2012,give,108,other
2012,bang,107,vocalisation
2012,run,103,movement
2012,well,102,other
2012,two,101,other
2012,sun,101,other
2012,die,101,other
2012,find,100,other
2012,man,97,other
2012,mind,97,other
2012,hands,96,anatomy
2012,stop,96,movement
2012,keep,95,other
2012,always,94,time
2012,mine,94,other
2012,feat,93,vocalisation
2012,everything,90,other
2012,old,90,time
2012,try,89,other
2012,nah,89,vocalisation
2012,stay,87,movement
2012,new,87,time
2012,head,86,anatomy
2012,home,86,other
2012,niggas,86,profanity
2012,bout,85,other
2012,live,85,other
2012,walk,83,movement
2012,hard,83,other
2012,hit,83,movement
2012,lost,83,other
2012,money,82,other
2012,young,81,time
2012,close,80,other
2012,real,78,other
2012,bad,77,emotion
2012,fall,75,movement
2012,dance,75,movement
2012,red,75,other
2012,things,74,other
2012,gone,74,movement
2012,wait,73,other
2012,better,72,emotion
2012,rock,72,movement
2012,around,70,movement
2012,kiss,69,other
2012,alone,69,emotion
2012,much,68,other
2012,end,68,time
2012,nothing,67,other
2012,fire,67,other
2012,high,66,other
2012,sing,66,other
2012,til,66,other
2012,show,65,other
2012,told,65,other
2012,forever,64,time
2012,miss,63,other
2012,even,63,other
2012,sweet,63,emotion
2012,fly,63,movement
2012,mad,63,emotion
2012,comes,62,other
2012,thing,62,other
2012,god,61,other
2012,hear,60,other
2012,really,60,other
2012,might,60,other
2013,night,323,time
2013,back,255,movement
2013,life,218,other
2013,ain,217,vocalisation
2013,shit,217,profanity
2013,could,198,other
2013,fuck,190,profanity
2013,think,180,other
2013,nigga,173,profanity
2013,woah,170,vocalisation
2013,man,169,other
2013,heart,166,emotion
2013,day,161,time
2013,give,155,other
2013,won,146,other
2013,things,145,other
2013,turn,145,movement
2013,good,141,other
2013,away,130,movement
2013,said,128,other
2013,fire,125,other
2013,live,123,other
2013,put,122,movement
2013,keep,119,other
2013,still,119,other
2013,long,119,other
2013,everybody,115,other
2013,hands,115,anatomy
2013,home,114,other
2013,stay,112,movement
2013,without,112,other
2013,look,112,other
2013,ever,111,time
2013,world,111,other
2013,everything,111,other
2013,woo,111,vocalisation
2013,hold,111,other
2013,real,111,other
2013,mind,110,other
2013,sun,108,other
2013,well,107,other
2013,burn,106,other
2013,bitch,106,profanity
2013,eyes,105,anatomy
2013,niggas,104,profanity
2013,every,103,time
2013,song,97,other
2013,tonight,97,time
2013,eheu,96,vocalisation
2013,side,95,other
2013,run,95,movement
2013,find,93,other
2013,better,93,emotion
2013,ready,93,other
2013,stop,92,movement
2013,wrong,91,emotion
2013,much,91,other
2013,bang,91,vocalisation
2013,around,90,movement
2013,lose,89,other
2013,going,89,movement
2013,girls,88,other
2013,alone,88,emotion
2013,die,88,other
2013,work,86,movement
2013,call,86,other
2013,nothing,85,other
2013,even,84,other
2013,made,83,other
2013,would,83,other
2013,show,83,other
2013,bad,82,emotion
2013,dance,82,movement
2013,round,82,other
2013,til,82,other
2013,fall,81,movement
2013,play,80,other
2013,talk,80,other
2013,dream,78,emotion
2013,little,78,other
2013,god,77,other
2013,watch,77,movement
2013,high,76,other
2013,young,76,time
2013,money,76,other
2013,hol,75,other
2013,hitta,75,other
2013,ayy,74,vocalisation
2013,wait,73,other
2013,hope,72,emotion
2013,enough,71,other
2013,thing,70,other
2013,goin,70,movement
2013,ride,70,movement
2013,light,70,other
2013,hear,70,other
2013,pop,69,vocalisation
2013,new,68,time
2013,happy,68,emotion
2013,dancing,68,movement
2014,doh,300,vocalisation
2014,ain,283,vocalisation
2014,nigga,234,profanity
2014,could,232,other
2014,back,221,movement
2014,still,201,other
2014,heart,186,emotion
2014,man,186,other
2014,night,184,time
2014,little,176,other
2014,life,173,other
2014,fuck,153,profanity
2014,every,151,time
2014,give,150,other
2014,high,148,other
2014,look,147,other
2014,money,146,other
2014,good,144,other
2014,keep,142,other
2014,stay,141,movement
2014,woo,140,vocalisation
2014,think,139,other
2014,niggas,137,profanity
2014,said,130,other
2014,low,130,other
2014,bitch,123,profanity
2014,away,122,movement
2014,new,122,time
2014,shout,119,other
2014,day,118,time
2014,world,117,other
2014,bad,115,emotion
2014,turn,113,movement
2014,gon,112,vocalisation
2014,side,112,other
2014,won,111,other
2014,nah,110,vocalisation
2014,mind,109,other
2014,hands,107,anatomy
2014,ever,106,time
2014,woah,106,vocalisation
2014,home,104,other
2014,put,99,movement
2014,huh,98,vocalisation
2014,light,97,other
2014,pretty,97,other
2014,hold,96,other
2014,better,96,emotion
2014,show,96,other
2014,cut,96,other
2014,around,96,movement
2014,really,95,other
2014,would,94,other
2014,long,93,other
2014,shake,93,movement
2014,tonight,92,time
2014,yet,91,time
2014,run,90,movement
2014,even,88,other
2014,shit,84,profanity
2014,leave,81,other
2014,dance,81,movement
2014,care,79,emotion
2014,thing,78,other
2014,real,78,other
2014,fall,77,movement
2014,might,77,other
2014,bang,77,vocalisation
2014,alone,76,emotion
2014,last,76,time
2014,top,76,other
2014,hol,76,other
2014,call,75,other
2014,always,75,time
2014,bout,74,other
2014,tryna,72,other
2014,remember,71,time
2014,hit,71,movement
2014,made,70,other
2014,eyes,70,anatomy
2014,something,70,other
2014,gettin,69,other
2014,bitches,69,profanity
2014,done,69,other
2014,told,69,other
2014,lost,67,other
2014,hoo,67,vocalisation
2014,wait,66,other
2014,well,66,other
2014,everything,66,other
2014,things,65,other
2014,boys,65,other
2014,another,65,time
2014,air,65,other
2014,play,64,other
2014,believe,64,emotion
2014,til,63,other
2014,ride,63,movement
2014,bass,63,other
2014,without,62,other
2015,ain,276,vocalisation
2015,back,233,movement
2015,could,217,other
2015,night,213,time
2015,heart,213,emotion
2015,away,209,movement
2015,life,182,other
2015,think,182,other
2015,give,177,other
2015,good,174,other
2015,fuck,174,profanity
2015,nigga,170,profanity
2015,hold,169,other
2015,shit,166,profanity
2015,money,163,other
2015,still,163,other
2015,won,160,other
2015,keep,159,other
2015,home,158,other
2015,ayy,155,vocalisation
2015,look,146,other
2015,would,145,other
2015,woah,140,vocalisation
2015,better,139,emotion
2015,bitch,139,profanity
2015,ever,136,time
2015,run,135,movement
2015,high,133,other
2015,die,132,other
2015,always,127,time
2015,cry,126,emotion
2015,woo,125,vocalisation
2015,every,123,time
2015,world,122,other
2015,day,122,time
2015,stay,120,movement
2015,everything,119,other
2015,even,116,other
2015,eyes,114,anatomy
2015,man,113,other
2015,show,113,other
2015,watch,112,movement
2015,mind,112,other
2015,face,111,anatomy
2015,around,111,movement
2015,really,110,other
2015,light,105,other
2015,forget,103,other
2015,call,100,other
2015,new,97,time
2015,put,97,movement
2015,knows,96,other
2015,little,96,other
2015,said,95,other
2015,nobody,95,other
2015,niggas,95,profanity
2015,alright,93,other
2015,old,92,time
2015,wait,92,other
2015,thing,92,other
2015,head,91,anatomy
2015,things,90,other
2015,much,89,other
2015,gon,88,vocalisation
2015,without,88,other
2015,body,88,anatomy
2015,left,86,other
2015,fall,85,movement
2015,lost,84,other
2015,long,83,other
2015,might,81,other
2015,real,80,other
2015,fire,80,other
2015,two,78,other
2015,tonight,77,time
2015,shot,77,other
2015,ass,77,profanity
2015,used,76,other
2015,find,75,other
2015,cold,75,other
2015,lay,75,other
2015,live,74,other
2015,young,74,time
2015,fuckin,74,profanity
2015,runnin,74,movement
2015,bout,73,other
2015,please,73,other
2015,ready,73,other
2015,hope,72,emotion
2015,sweet,72,emotion
2015,party,72,other
2015,dance,70,movement
2015,talk,69,other
2015,gone,69,movement
2015,lot,69,other
2015,last,69,time
2015,god,69,other
2015,hit,68,movement
2015,hard,68,other
2015,free,67,other
2016,ain,420,vocalisation
2016,low,398,other
2016,back,312,movement
2016,keep,237,other
2016,every,232,time
2016,good,225,other
2016,night,217,time
2016,shit,212,profanity
2016,said,208,other
2016,give,207,other
2016,work,205,movement
2016,day,192,time
2016,fuck,192,profanity
2016,bitch,171,profanity
2016,still,164,other
2016,mind,161,other
2016,woah,158,vocalisation
2016,gon,156,vocalisation
2016,think,155,other
2016,hold,152,other
2016,ever,149,time
2016,nigga,147,profanity
2016,woo,143,vocalisation
2016,won,142,other
2016,life,141,other
2016,put,140,movement
2016,could,139,other
2016,ayy,128,vocalisation
2016,heart,125,emotion
2016,young,124,time
2016,bout,123,other
2016,turn,123,movement
2016,niggas,120,profanity
2016,home,120,other
2016,made,119,other
2016,man,118,other
2016,around,118,movement
2016,look,117,other
2016,else,116,other
2016,even,115,other
2016,always,115,time
2016,away,114,movement
2016,would,114,other
2016,little,113,other
2016,side,107,other
2016,tonight,107,time
2016,body,106,anatomy
2016,high,105,other
2016,call,102,other
2016,show,101,other
2016,money,100,other
2016,mama,99,other
2016,things,99,other
2016,okay,98,vocalisation
2016,nothin,98,other
2016,name,98,other
2016,head,94,anatomy
2016,real,94,other
2016,new,93,time
2016,better,93,emotion
2016,talk,92,other
2016,hard,90,other
2016,close,86,other
2016,stay,86,movement
2016,well,85,other
2016,somethin,85,other
2016,place,84,other
2016,pull,83,movement
2016,nothing,83,other
2016,die,82,other
2016,leave,82,other
2016,really,81,other
2016,babe,80,other
2016,goin,79,movement
2016,feeling,79,emotion
2016,tryna,78,other
2016,dance,78,movement
2016,alright,78,other
2016,god,77,other
2016,eyes,77,anatomy
2016,comin,76,other
2016,run,76,movement
2016,alone,76,emotion
2016,nah,76,vocalisation
2016,bad,76,emotion
2016,nobody,75,other
2016,world,75,other
2016,hit,74,movement
2016,swear,74,other
2016,hate,74,emotion
2016,everything,74,other
2016,thing,73,other
2016,though,72,other
2016,til,72,other
2016,try,71,other
2016,fall,71,movement
2016,feelin,71,emotion
2016,mmm,70,vocalisation
2016,bam,70,vocalisation
2016,stop,67,movement
2017,ain,380,vocalisation
2017,ayy,278,vocalisation
2017,bitch,264,profanity
2017,back,254,movement
2017,good,197,other
2017,fuck,189,profanity
2017,hold,182,other
2017,look,176,other
2017,could,175,other
2017,life,171,other
2017,call,171,other
2017,said,163,other
2017,keep,159,other
2017,still,152,other
2017,home,148,other
2017,better,144,emotion
2017,nigga,142,profanity
2017,give,141,other
2017,made,141,other
2017,put,138,movement
2017,bad,137,emotion
2017,heart,136,emotion
2017,gon,134,vocalisation
2017,won,133,other
2017,shit,130,profanity
2017,niggas,128,profanity
2017,away,121,movement
2017,think,120,other
2017,every,118,time
2017,little,116,other
2017,even,110,other
2017,day,109,time
2017,would,107,other
2017,mind,106,other
2017,someone,100,other
2017,woo,98,vocalisation
2017,woah,97,vocalisation
2017,man,96,other
2017,light,96,other
2017,really,96,other
2017,face,94,anatomy
2017,show,93,other
2017,okay,92,vocalisation
2017,world,92,other
2017,night,92,time
2017,enough,90,other
2017,body,89,anatomy
2017,new,88,time
2017,doo,88,vocalisation
2017,die,88,other
2017,run,88,movement
2017,ride,86,movement
2017,long,86,other
2017,hit,85,movement
2017,told,84,other
2017,leave,84,other
2017,hard,84,other
2017,things,82,other
2017,play,82,other
2017,mama,82,other
2017,skrrt,82,vocalisation
2017,well,81,other
2017,thunder,81,other
2017,sorry,81,emotion
2017,mean,81,other
2017,might,81,other
2017,nope,80,vocalisation
2017,always,79,time
2017,tryna,79,other
2017,maybe,78,other
2017,ever,77,time
2017,money,77,other
2017,head,76,anatomy
2017,til,76,other
2017,lil,76,other
2017,god,75,other
2017,gang,75,other
2017,tryin,75,other
2017,huh,74,vocalisation
2017,try,74,other
2017,tam,73,vocalisation
2017,mine,72,other
2017,high,72,other
2017,wild,72,other
2017,eyes,71,anatomy
2017,nah,71,vocalisation
2017,first,70,time
2017,left,70,other
2017,talk,69,other
2017,two,69,other
2017,vibe,69,emotion
2017,drop,68,movement
2017,stay,67,movement
2017,wrong,67,emotion
2017,tonight,65,time
2017,inside,64,other
2017,end,64,time
