Year,Word,Frequency,Category
2010,back,302,Other
2010,hands,231,Anatomy
2010,said,222,Action
2010,life,220,Other
2010,night,207,Party
2010,look,201,Action
2010,put,199,Action
2010,man,199,Person
2010,could,194,Other
2010,stop,189,Action
2010,think,185,Other
2010,heart,183,Emotion
2010,keep,172,Action
2010,run,171,Action
2010,name,168,Other
2010,away,168,Location
2010,dance,167,Party
2010,world,163,Location
2010,give,163,Action
2010,ever,157,Time
2010,head,153,Anatomy
2010,really,150,Other
2010,good,150,Other
2010,day,147,Time
2010,better,146,Other
2010,lights,143,Other
2010,around,140,Location
2010,eyes,137,Anatomy
2010,fuck,134,Profanity
2010,shit,130,Profanity
2010,tonight,130,Party
2010,little,128,Other
2010,wish,126,Emotion
2010,thing,125,Action
2010,home,122,Location
2010,show,121,Action
2010,nigga,121,Profanity
2010,turn,120,Action
2010,boom,120,Vocalization
2010,bitch,120,Profanity
2010,low,118,Other
2010,live,118,Other
2010,mind,118,Emotion
2010,find,117,Other
2010,stand,115,Other
2010,still,113,Time
2010,rock,111,Other
2010,would,107,Other
2010,party,104,Party
2010,fly,103,Other
2010,every,102,Other
2010,long,102,Other
2010,last,102,Time
2010,nothing,102,Action
2010,everybody,102,Other
2010,even,101,Other
2010,going,99,Action
2010,ride,98,Other
2010,chick,98,Other
2010,everything,97,Action
2010,try,96,Other
2010,gone,95,Other
2010,huh,94,Vocalization
2010,wooo,94,Vocalization
2010,leave,92,Action
2010,hold,92,Action
2010,money,92,Wealth
2010,fight,91,Other
2010,enough,91,Other
2010,bad,90,Other
2010,work,88,Other
2010,woah,88,Vocalization
2010,somebody,88,Other
2010,always,87,Time
2010,dream,85,Emotion
2010,play,84,Other
2010,call,83,Other
2010,shot,82,Party
2010,done,82,Other
2010,move,82,Action
2010,bang,82,Other
2010,talk,80,Other
2010,pretty,80,Other
2010,smile,79,Other
2010,waiting,79,Action
2010,mmm,77,Vocalization
2010,change,76,Other
2010,start,76,Other
2010,feeling,76,Emotion
2010,well,76,Other
2010,please,76,Other
2010,place,76,Location
2010,old,74,Other
2010,face,73,Anatomy
2010,care,73,Other
2010,came,73,Other
2010,fall,72,Other
2010,moment,72,Other
2010,alone,72,Other
2010,bout,72,Other
2011,back,310,Other
2011,give,275,Action
2011,woah,246,Vocalization
2011,heart,245,Emotion
2011,tonight,225,Party
2011,good,220,Other
2011,put,217,Action
2011,bitch,205,Profanity
2011,keep,201,Action
2011,night,199,Party
2011,day,195,Time
2011,things,191,Other
2011,man,189,Person
2011,life,188,Other
2011,ayy,187,Vocalization
2011,could,184,Other
2011,nigga,179,Profanity
2011,money,169,Wealth
2011,look,168,Action
2011,mind,161,Emotion
2011,run,160,Action
2011,said,158,Action
2011,fuck,156,Profanity
2011,hands,147,Anatomy
2011,alright,146,Other
2011,call,145,Other
2011,still,143,Time
2011,think,142,Other
2011,talk,142,Other
2011,world,141,Location
2011,turn,140,Action
2011,hold,139,Action
2011,always,138,Time
2011,every,134,Other
2011,girls,134,Person
2011,stop,130,Action
2011,little,129,Other
2011,try,129,Other
2011,shit,127,Profanity
2011,show,120,Action
2011,cake,120,Other
2011,everything,117,Action
2011,around,116,Location
2011,even,115,Other
2011,away,114,Location
2011,light,111,Other
2011,name,111,Other
2011,head,111,Anatomy
2011,rock,111,Other
2011,party,104,Party
2011,city,104,Location
2011,shake,102,Other
2011,well,101,Other
2011,everybody,101,Other
2011,leave,99,Action
2011,home,98,Location
2011,fall,96,Other
2011,long,95,Other
2011,ever,94,Time
2011,eyes,94,Anatomy
2011,rack,94,Other
2011,bad,93,Other
2011,going,93,Action
2011,kiss,93,Other
2011,waiting,92,Action
2011,buh,92,Other
2011,would,91,Other
2011,really,90,Other
2011,dance,90,Party
2011,body,89,Anatomy
2011,gone,88,Other
2011,play,88,Other
2011,watch,87,Other
2011,feeling,87,Emotion
2011,pick,87,Other
2011,coming,86,Action
2011,nothing,86,Action
2011,start,86,Other
2011,fight,85,Other
2011,til,85,Other
2011,alone,85,Other
2011,damn,84,Profanity
2011,live,84,Other
2011,friends,84,Person
2011,die,84,Other
2011,break,83,Other
2011,floor,82,Location
2011,loving,82,Action
2011,pump,82,Other
2011,new,81,Other
2011,much,80,Other
2011,born,79,Other
2011,stay,78,Action
2011,hard,78,Other
2011,something,78,Action
2011,god,77,Other
2011,please,77,Other
2011,fuckin,77,Profanity
2011,hope,74,Emotion
2011,told,74,Action
2012,nigga,247,Profanity
2012,woah,230,Vocalization
2012,life,229,Other
2012,think,225,Other
2012,back,216,Other
2012,night,203,Party
2012,day,202,Time
2012,could,195,Other
2012,heart,188,Emotion
2012,look,176,Action
2012,good,168,Other
2012,bitch,166,Profanity
2012,eyes,156,Anatomy
2012,turn,152,Action
2012,little,151,Other
2012,fuck,147,Profanity
2012,try,141,Other
2012,ever,141,Time
2012,away,140,Location
2012,hands,138,Anatomy
2012,things,136,Other
2012,hold,135,Action
2012,every,134,Other
2012,shit,134,Profanity
2012,said,134,Action
2012,tonight,132,Party
2012,long,128,Other
2012,would,128,Other
2012,give,127,Action
2012,world,123,Location
2012,fall,122,Other
2012,die,121,Other
2012,run,119,Action
2012,wait,116,Other
2012,still,115,Time
2012,last,114,Time
2012,put,113,Action
2012,live,112,Other
2012,keep,111,Action
2012,made,108,Action
2012,bang,107,Other
2012,stop,106,Action
2012,mind,104,Emotion
2012,find,102,Other
2012,well,102,Other
2012,sun,102,Other
2012,two,101,Other
2012,feeling,101,Emotion
2012,walk,99,Action
2012,head,98,Anatomy
2012,man,97,Person
2012,light,97,Other
2012,comes,97,Other
2012,mine,96,Other
2012,always,94,Time
2012,home,94,Location
2012,stay,93,Action
2012,feat,93,Other
2012,everything,90,Action
2012,old,90,Other
2012,dance,89,Party
2012,nah,89,Other
2012,new,87,Other
2012,hit,87,Other
2012,call,86,Other
2012,dreams,85,Emotion
2012,bout,85,Other
2012,close,84,Other
2012,goes,84,Other
2012,hard,83,Other
2012,money,83,Wealth
2012,lost,83,Other
2012,young,81,Other
2012,miss,81,Other
2012,work,80,Other
2012,sing,79,Action
2012,end,79,Other
2012,real,78,Other
2012,bad,77,Other
2012,red,75,Action
2012,rock,75,Other
2012,gone,74,Other
2012,kiss,73,Other
2012,show,73,Action
2012,place,72,Location
2012,fire,72,Other
2012,better,72,Other
2012,change,70,Other
2012,around,70,Location
2012,mad,70,Emotion
2012,beat,69,Party
2012,alone,69,Other
2012,much,68,Other
2012,sky,68,Other
2012,fly,68,Other
2012,nothing,67,Action
2012,high,66,Other
2012,break,66,Other
2012,burn,66,Other
2012,til,66,Other
2013,night,348,Party
2013,nigga,277,Profanity
2013,back,258,Other
2013,life,228,Other
2013,fuck,225,Profanity
2013,shit,223,Profanity
2013,things,215,Other
2013,day,204,Time
2013,could,198,Other
2013,heart,197,Emotion
2013,think,193,Other
2013,give,175,Action
2013,turn,175,Action
2013,dance,172,Party
2013,bitch,172,Profanity
2013,hands,170,Anatomy
2013,look,170,Action
2013,woah,170,Vocalization
2013,man,169,Person
2013,live,147,Other
2013,good,143,Other
2013,burn,141,Other
2013,wait,141,Other
2013,keep,137,Action
2013,fall,135,Other
2013,light,132,Other
2013,going,132,Action
2013,hold,131,Action
2013,away,130,Location
2013,said,128,Action
2013,put,127,Action
2013,fire,127,Other
2013,song,123,Other
2013,eyes,121,Anatomy
2013,hitta,120,Other
2013,still,119,Time
2013,call,119,Other
2013,run,119,Action
2013,long,119,Other
2013,stay,117,Action
2013,mind,117,Emotion
2013,started,116,Action
2013,world,116,Location
2013,everybody,115,Other
2013,dream,114,Emotion
2013,home,114,Location
2013,without,112,Other
2013,ever,111,Time
2013,everything,111,Action
2013,woo,111,Other
2013,real,111,Other
2013,well,108,Other
2013,sun,108,Other
2013,every,103,Other
2013,die,102,Other
2013,find,100,Other
2013,play,100,Other
2013,stop,98,Action
2013,tonight,97,Party
2013,eheu,96,Other
2013,side,95,Other
2013,try,95,Other
2013,show,95,Action
2013,talk,94,Other
2013,work,93,Other
2013,better,93,Other
2013,ready,93,Other
2013,lose,92,Other
2013,wrong,91,Other
2013,much,91,Other
2013,bang,91,Other
2013,hope,90,Emotion
2013,around,90,Location
2013,round,90,Other
2013,girls,88,Person
2013,alone,88,Other
2013,watch,87,Other
2013,even,85,Other
2013,nothing,85,Action
2013,feeling,83,Emotion
2013,made,83,Action
2013,would,83,Other
2013,sing,82,Action
2013,ride,82,Other
2013,bad,82,Other
2013,til,82,Other
2013,friends,80,Person
2013,god,80,Other
2013,happy,80,Emotion
2013,high,78,Other
2013,little,78,Other
2013,head,77,Anatomy
2013,young,76,Other
2013,money,76,Wealth
2013,miss,76,Other
2013,mean,75,Other
2013,hol,75,Other
2013,place,74,Location
2013,hear,74,Other
2013,ayy,74,Vocalization
2014,nigga,371,Profanity
2014,doh,300,Other
2014,could,232,Other
2014,back,221,Other
2014,heart,212,Emotion
2014,night,206,Party
2014,still,201,Time
2014,bitch,192,Profanity
2014,look,191,Action
2014,man,186,Person
2014,life,184,Other
2014,fuck,177,Profanity
2014,little,176,Other
2014,keep,170,Action
2014,think,166,Other
2014,give,163,Action
2014,hands,159,Anatomy
2014,day,158,Time
2014,light,156,Other
2014,every,151,Other
2014,high,150,Other
2014,money,146,Wealth
2014,stay,145,Action
2014,good,144,Other
2014,thing,143,Action
2014,woo,140,Other
2014,turn,136,Action
2014,run,131,Action
2014,low,131,Other
2014,said,130,Action
2014,wait,122,Other
2014,away,122,Location
2014,new,122,Other
2014,shout,120,Other
2014,hold,118,Action
2014,world,117,Location
2014,bad,115,Other
2014,side,115,Other
2014,mind,113,Emotion
2014,gon,112,Slang
2014,nah,110,Other
2014,show,110,Action
2014,ever,106,Time
2014,woah,106,Vocalization
2014,home,105,Location
2014,fall,101,Other
2014,put,99,Action
2014,cut,99,Other
2014,shake,98,Other
2014,huh,98,Vocalization
2014,pretty,97,Other
2014,better,96,Other
2014,around,96,Location
2014,really,95,Other
2014,going,95,Action
2014,call,94,Other
2014,would,94,Other
2014,leave,93,Action
2014,long,93,Other
2014,tonight,92,Party
2014,yet,91,Other
2014,even,90,Other
2014,shit,89,Profanity
2014,save,87,Other
2014,dance,87,Party
2014,care,84,Other
2014,roll,83,Other
2014,lie,82,Other
2014,hurts,80,Other
2014,play,80,Other
2014,eyes,79,Anatomy
2014,real,79,Other
2014,last,78,Time
2014,bang,78,Other
2014,hit,77,Other
2014,might,77,Other
2014,alone,76,Other
2014,feeling,76,Emotion
2014,top,76,Other
2014,hol,76,Other
2014,kiss,75,Other
2014,always,75,Time
2014,bout,74,Other
2014,tryna,72,Slang
2014,remember,71,Other
2014,ride,71,Other
2014,made,70,Action
2014,something,70,Action
2014,dream,70,Emotion
2014,gettin,69,Action
2014,believe,69,Other
2014,done,69,Other
2014,told,69,Action
2014,place,68,Location
2014,lost,67,Other
2014,hoo,67,Other
2014,beat,67,Party
2014,well,66,Other
2014,name,66,Other
2014,everything,66,Action
2015,nigga,265,Profanity
2015,fuck,244,Profanity
2015,night,235,Party
2015,back,233,Other
2015,heart,224,Emotion
2015,could,217,Other
2015,away,209,Location
2015,think,200,Other
2015,bitch,197,Profanity
2015,look,190,Action
2015,life,187,Other
2015,give,183,Action
2015,hold,182,Action
2015,thing,182,Action
2015,keep,177,Action
2015,good,174,Other
2015,shit,168,Profanity
2015,run,164,Action
2015,money,163,Wealth
2015,still,163,Time
2015,day,160,Time
2015,home,159,Location
2015,ayy,155,Vocalization
2015,call,154,Other
2015,light,153,Other
2015,high,149,Other
2015,die,149,Other
2015,would,145,Other
2015,cry,143,Emotion
2015,woah,140,Vocalization
2015,stay,140,Action
2015,better,139,Other
2015,wait,139,Other
2015,ever,136,Time
2015,always,128,Time
2015,eyes,126,Anatomy
2015,watch,126,Other
2015,fall,125,Other
2015,woo,125,Other
2015,face,124,Anatomy
2015,world,124,Location
2015,every,123,Other
2015,show,122,Action
2015,mind,122,Emotion
2015,everything,119,Action
2015,man,117,Person
2015,even,117,Other
2015,try,112,Other
2015,around,111,Location
2015,really,110,Other
2015,hands,108,Anatomy
2015,put,105,Action
2015,forget,104,Other
2015,head,102,Anatomy
2015,knows,101,Other
2015,friends,99,Person
2015,new,97,Other
2015,shot,96,Party
2015,little,96,Other
2015,body,96,Anatomy
2015,said,95,Action
2015,nobody,95,Other
2015,feeling,94,Emotion
2015,alright,93,Other
2015,old,92,Other
2015,talk,92,Other
2015,used,90,Action
2015,much,89,Other
2015,gon,88,Slang
2015,long,88,Other
2015,without,88,Other
2015,left,86,Action
2015,live,85,Other
2015,lost,84,Other
2015,real,81,Other
2015,lie,81,Other
2015,play,81,Other
2015,might,81,Other
2015,word,80,Other
2015,turn,80,Action
2015,walk,80,Action
2015,fire,80,Other
2015,loved,80,Action
2015,dance,80,Party
2015,dream,79,Emotion
2015,two,78,Other
2015,tonight,77,Party
2015,hope,77,Emotion
2015,ass,77,Profanity
2015,lay,76,Other
2015,low,75,Other
2015,find,75,Other
2015,cold,75,Other
2015,young,74,Other
2015,place,74,Location
2015,lose,74,Other
2015,fuckin,74,Profanity
2015,runnin,74,Action
2015,stop,74,Action
2015,bout,73,Other
2016,low,401,Other
2016,back,312,Other
2016,nigga,267,Profanity
2016,keep,243,Action
2016,give,242,Action
2016,night,233,Party
2016,every,232,Other
2016,fuck,229,Profanity
2016,work,226,Other
2016,good,225,Other
2016,shit,215,Profanity
2016,day,212,Time
2016,bitch,208,Profanity
2016,said,208,Action
2016,look,196,Action
2016,things,172,Other
2016,think,170,Other
2016,mind,165,Emotion
2016,still,164,Time
2016,hold,161,Action
2016,woah,158,Vocalization
2016,gon,156,Slang
2016,ever,149,Time
2016,woo,143,Other
2016,heart,142,Emotion
2016,life,142,Other
2016,put,141,Action
2016,could,139,Other
2016,turn,137,Action
2016,fall,131,Other
2016,ayy,128,Vocalization
2016,call,127,Other
2016,feeling,125,Emotion
2016,young,124,Other
2016,bout,123,Other
2016,home,122,Location
2016,show,121,Action
2016,made,119,Action
2016,man,118,Person
2016,around,118,Location
2016,talk,117,Other
2016,else,116,Other
2016,even,115,Other
2016,always,115,Time
2016,away,114,Location
2016,would,114,Other
2016,try,113,Other
2016,little,113,Other
2016,high,112,Other
2016,side,111,Other
2016,going,111,Action
2016,body,108,Anatomy
2016,tonight,107,Party
2016,light,106,Other
2016,head,104,Anatomy
2016,money,101,Wealth
2016,eyes,101,Anatomy
2016,mama,100,Person
2016,okay,98,Other
2016,nothin,98,Slang
2016,name,98,Other
2016,stay,97,Action
2016,close,96,Other
2016,die,96,Other
2016,dance,94,Party
2016,real,94,Other
2016,new,93,Other
2016,better,93,Other
2016,leave,93,Action
2016,pull,92,Other
2016,place,92,Location
2016,hard,90,Other
2016,lie,90,Other
2016,run,89,Action
2016,well,86,Other
2016,hands,85,Anatomy
2016,somethin,85,Slang
2016,nothing,84,Action
2016,miss,82,Other
2016,watch,82,Other
2016,really,81,Other
2016,babe,81,Other
2016,friends,80,Person
2016,hit,79,Other
2016,goin,79,Other
2016,tryna,78,Slang
2016,alright,78,Other
2016,god,77,Other
2016,smoke,77,Other
2016,bad,77,Other
2016,comin,76,Action
2016,alone,76,Other
2016,nah,76,Other
2016,nobody,75,Other
2016,world,75,Location
2016,stop,74,Action
2016,swear,74,Other
2016,hate,74,Other
2016,everything,74,Action
2016,wait,74,Other
2017,bitch,316,Profanity
2017,ayy,278,Vocalization
2017,nigga,270,Profanity
2017,back,256,Other
2017,fuck,225,Profanity
2017,look,205,Action
2017,hold,204,Action
2017,good,197,Other
2017,keep,192,Action
2017,call,188,Other
2017,life,181,Other
2017,could,175,Other
2017,said,163,Action
2017,day,153,Time
2017,still,152,Time
2017,heart,148,Emotion
2017,home,148,Location
2017,better,144,Other
2017,give,142,Action
2017,made,141,Action
2017,put,138,Action
2017,think,137,Other
2017,bad,137,Other
2017,gon,134,Slang
2017,shit,130,Profanity
2017,run,128,Action
2017,light,121,Other
2017,away,121,Location
2017,things,119,Other
2017,every,118,Other
2017,little,116,Other
2017,try,116,Other
2017,mind,111,Emotion
2017,even,110,Other
2017,night,110,Party
2017,feels,108,Other
2017,would,107,Other
2017,someone,100,Other
2017,show,100,Action
2017,man,99,Person
2017,play,99,Other
2017,hands,98,Anatomy
2017,face,98,Anatomy
2017,friends,98,Person
2017,woo,98,Other
2017,woah,97,Vocalization
2017,really,96,Other
2017,leave,93,Action
2017,world,93,Location
2017,body,92,Anatomy
2017,hit,92,Other
2017,okay,92,Other
2017,die,92,Other
2017,enough,90,Other
2017,ride,89,Other
2017,new,88,Other
2017,doo,88,Vocalization
2017,stay,88,Action
2017,wait,86,Other
2017,long,86,Other
2017,eyes,85,Anatomy
2017,mean,85,Other
2017,vibe,85,Brainrot
2017,told,84,Action
2017,hard,84,Other
2017,lie,83,Other
2017,mama,82,Person
2017,talk,82,Other
2017,skrrt,82,Other
2017,well,81,Other
2017,thunder,81,Other
2017,sorry,81,Emotion
2017,might,81,Other
2017,fall,80,Other
2017,end,80,Other
2017,nope,80,Other
2017,always,79,Time
2017,tryna,79,Slang
2017,head,78,Anatomy
2017,money,78,Wealth
2017,maybe,78,Other
2017,going,78,Action
2017,ever,77,Time
2017,til,76,Other
2017,god,76,Other
2017,lil,76,Slang
2017,start,76,Other
2017,move,75,Action
2017,gang,75,Other
2017,tryin,75,Action
2017,huh,74,Vocalization
2017,drop,74,Action
2017,mine,73,Other
2017,high,73,Other
